Cejl; 
Zvonařka; 
Heydukova;M
Karlova;M
Hamerláky; 
Prašnice; 
Bystřinova;M
Letní; 
Pohořelec; 
Churého;M
Havraní; 
Prumperk; 
Jarní; 
Tilhonova;M
Havránkova;M
Ulrychova;M
Václavkova;M
Místní; 
Trávníčkova;M
Kavčí; 
bratří Šmardů; 
Lozíbky; 
Obůrky; 
Körnerova;M
Rozhraní; 
Sojčí; 
Porhajmova;M
Šikmá; 
Ječná; 
Melatín; 
Pomezní; 
Matlachova;M
Kubešova;M
Chalabalova;M
Musilova;M
Habří; 
Vzhledná; 
Rokytova;M
Roviny; 
Kunzova;M
Jižní svahy; 
Horynova;M
Bezručova;M
Moravanské lány; 
Sousední; 
Elišky Přemyslovny; 
Nálepkova;M
Fričova;M
Drčkova;M
Krejčího; 
Foltýnova;M
Staré náměstí; 
náměstí 28. dubna; 
Bodlákova;M
Midlochova;M
Skořepka; 
Budovcova;M
Kollárova;M
Kopaniny; 
Rerychova;M
Strakatého;M
Ríšova;M
Zelný trh; 
Stará; 
Kainarova;M
Pšikalova;M
Životského;M
Šilarova;M
Sedláčkova;M
Vrchlického sad; 
Tuřanka; 
Františky Skaunicové;F
Juliánovské náměstí; 
Zapletalova;M
Heleny Malířové;F
Tumaňanova;M
Lýskova;M
Střední; 
Mášova;M
Langrova;M
Netroufalky; 
Dolnopolní; 
Páteřní; 
Černého;M
Koláčkova;M
Tučkova;M
Jižní náměstí; 
Purkyňova;M
Záhumenice; 
Opuštěná; 
Palouk; 
Joštova;M
Žebětínek; 
Rolencova;M
Přemyslovo náměstí; 
Vedlejší; 
Plachtova;M
Kunešova;M
Pospíšilova;M
Dlouhá; 
Údolíček; 
Tržní; 
Mathonova;M
Zavřená; 
Máchova;M
Franzova;M
Karkulínova;M
Vodní; 
Rybkova;M
Antonína Slavíka; 
Kubánky; 
Olšanského;M
Vlasty Pittnerové;F
Absolonova;M
Bučkova;M
Fryčajova;M
Šimáčkova;M
Žampachova;M
Příkrá; 
Mariánské údolí; 
Arbesova;M
Skrejš; 
Pařezí; 
Palachovo náměstí; 
Okružní; 
Podpěrova;M
Vavákova;M
bratří Křičků; 
Dlážděná; 
Neklanova;M
Vinařického;M
Vychodilova;M
Milénova;M
Skalní; 
Skácelova;M
Újezdy; 
Barvy; 
Bolzanova;M
Gabriely Preissové;F
náměstí SNP; 
Pěšina; 
Svah; 
Podlomní; 
Jírovcova;M
Poláčkova;M
Zderadova;M
Prokopův kopec; 
Maříkova;M
Příhon; 
Zkratka; 
Kopečná; 
Ernsta Macha; 
Černopolní; 
Čermákova;M
Dlouhé vrchy; 
Branka; 
Kikrleho; 
Výsluní; 
Smetanova;M
Černá; 
Sazenice; 
Krajní; 
Mrkosova;M
Těsnohlídkova;M
Helceletova;M
Boženy Antonínové;F
Tříčtvrtní; 
Borky; 
Přírodní; 
Klarisky; 
Drozdí; 
Dohnalova;M
Španielova;M
Svánovského;M
Vachova;M
Janáčkovo náměstí; 
Netušilova;M
Elišky Machové;F
Breitcetlova;M
Cikánkova;M
Zaoralova;M
Lužova;M
Chironova;M
Bažinka; 
Svitavské nábřeží; 
Bašty; 
Konečného;M
Pluháčkova;M
Rušná; 
Obilní; 
Bosonožské náměstí; 
Zahrádky; 
Libušina třída; 
Sekaninova;M
Slámova;M
Padělíky; 
Heinrichova;M
Antonína Macka; 
Kamanova;M
Klusáčkova;M
Medkova;M
Kolmá; 
náměstí Svobody; 
Geislerova;M
Sejkorova;M
Švábenského;M
Arne Nováka; 
Řádky; 
Fišova;M
Jožky Jabůrkové;F
Příkop; 
Matalova;M
Studánka; 
Tomešova;M
Luční; 
Farní; 
Liští; 
Přední; 
Malinovského náměstí; 
Holzova;M
Štefáčkova;M
Krkoškova;M
Vnitřní; 
Výspa; 
Zdislavina; 
Černovičky; 
Novotného;M
Hrubého;M
Hlinky; 
Karolíny Světlé; 
Vaňkovo náměstí; 
Čelakovského;M
Podlesí; 
Volfova;M
Tovačovského;M
Celní; 
Slavomírova;M
Pastrnkova;M
Ulička; 
Vomáčkova;M
Cupákova;M
Píškova;M
Komárovské nábřeží; 
Dufkovo nábřeží; 
Železniční; 
Potoční; 
Horní; 
Klobouček; 
Húskova;M
Spáčilova;M
Antonína Procházky; 
Blažkova;M
Konradova;M
Bartákova;M
Kladivova;M
Sládkova;M
Kigginsova;M
Slovákova;M
Kudrnova;M
Rašínova;M
Preslova;M
Větrná; 
Šujanovo náměstí; 
Plíže; 
Chládkova;M
Chrlické náměstí; 
Topolky; 
Šoustalova;M
třída Generála Píky; 
Těžební; 
Saidova;M
Fučíkova;M
Boženy Němcové;F
Weissova;M
Zaječí hora; 
Skřivánčí; 
Karásek; 
Gebauerova;M
Bráfova;M
Slunečná; 
Mozolky; 
Trýbova;M
Šikova;M
Pechova;M
Kuldova;M
Čajkovského;M
Spěšná; 
Přímá; 
Kampelíkova;M
Chudobova;M
Scheinerova;M
Gustava Broma; 
Vratná; 
Skoumalova;M
Londýnské náměstí; 
Havlenova;M
Kožíkova;M
Dornych; 
Ševčenkova;M
Máchalova;M
Příčky; 
Černíkova;M
Libušino údolí; 
Balbínova;M
Widmannova;M
Lesní; 
Prokešova;M
Slaměníkova;M
Dillingerova;M
Veselka; 
Šaumannova;M
Západní; 
Úhledná; 
Kubelíkova;M
Petra Křivky; 
Čichnova;M
Sojkova;M
Kosíkova;M
Výpustky; 
Bílého;M
Antala Staška; 
Vaňhalova;M
Komprdova;M
Kotěrova;M
bratří Sapáků; 
Klácelova;M
Elplova;M
Veletržní; 
Schovaná; 
Vítězslavy Kaprálové;F
Vondrákova;M
Viniční; 
Veleslavínova;M
Ludmily Konečné; 
Kneslova;M
Böhmova;M
Oldřišky Keithové;F
Východní; 
Kamechy; 
Stojanova;M
Sychrov; 
Wainerovo náměstí; 
Glinkova;M
Zemanova;M
Součkova;M
Matulkova;M
Čeňka Růžičky; 
Bohuňova;M
Slezákova;M
Volejníkova;M
Petrov; 
Suzova;M
Řehákova;M
Muzejní; 
Martina Ševčíka; 
Míčkova;M
Škrétova;M
Nohavicova;M
Sabinova;M
Bayerova;M
Ondrova;M
Klíčova;M
Zedníkova;M
Pivoňkova;M
Šámalova;M
Svatopluka Čecha; 
Ježkova;M
Houškova;M
Klímova;M
Laštůvkova;M
Blodkova;M
Pivodova;M
Těsná; 
Štursova;M
Kaleckého;M
Skřivanova;M
Orlí; 
Kytnerova;M
Solniční; 
Jakuba Obrovského;M
Poplužní; 
Soudní; 
Drážní; 
Opálkova;M
Úzká; 
Mlýnské nábřeží; 
Jandáskova;M
Bořivojova;M
Květná; 
Blatného;M
Havláskova;M
Zlámanky; 
Malý Růženec; 
Malá; 
Kejbaly; 
Sovinec; 
Horymírova;M
Hrdličkova;M
Severní; 
Samoty; 
Eimova;M
Nedbalova;M
Žabí; 
Nové náměstí; 
Rokycanova;M
Dukelská třída; 
Spálená; 
Hutařova;M
Škárova;M
Skorkovského;M
Ondříčkovo náměstí; 
Březinova;M
Nadační; 
Boční; 
Zachova;M
Mečířova;M
Veleckého;M
Rostislavovo náměstí; 
Nivky; 
Vlnitá; 
Přichystalova;M
Klobásova;M
Podlesná; 
Čápkova;M
Kohoutova;M
Čihadla; 
Malíkova;M
Mikšíčkova;M
Hradiska; 
Horákova;M
Kotkova;M
Jana Babáka; 
Chmelnice; 
Helfertova;M
Marie Steyskalové;F
Klidná; 
Ondráčkova;M
Maršíkova;M
Filkukova;M
Vlasty Fialové;F
Marie Majerové;F
Herčíkova;M
Pražákova;M
Přízova;M
Puchýřova;M
Kroupova;M
Kvapilova;M
Zelinkova;M
Nové Nivky; 
Vaníčkova;M
Zvěřinova;M
Glocova;M
Jana Uhra; 
Kallabova;M
Kobylín; 
Metodějova;M
Nerudova;M
Wintrova;M
Všetičkova;M
Seifertova;M
Teslova;M
Tuháčkova;M
Krušinova;M
Žlutý kopec; 
Polívkova;M
Krokova;M
Včeličkova;M
Klimešova;M
Jurkovičova;M
Ivanovických legionářů; 
Vlčkova;M
Mozartova;M
Ptašínského;M
bratří Pelíšků; 
Pálavské náměstí; 
Ericha Roučky; 
Farského;M
Pulkrábkova;M
Kapucínské náměstí; 
Rotalova;M
Dolní louky; 
Fojtíkova;M
Neumannova;M
Kudelova;M
Boří; 
Hájkova;M
Brněnky; 
Josefy Faimonové;F
Kalvodova;M
Červený kopec; 
Jiříkovského;M
Merhautova;M
Traubova;M
Baarovo nábřeží; 
bratří Čapků; 
Prodloužená; 
Kamenná čtvrť; 
Řehořova;M
Drobného;M
Filipova;M
Trávníky; 
Hapalova;M
Stamicova;M
Králova;M
Vinohrady; 
Ondřeje Veselého;M
Růženec; 
Mlaty; 
Vrázova;M
Švédské valy; 
Hrázka; 
Divadelní; 
Kmochova;M
Kounicova;M
Nováčkova;M
Brechtova;M
Wolkrova;M
Sušilova;M
Hudcova;M
Kučerova;M
Doležalova;M
Loučky; 
Křivého;M
Kocourkova;M
Jana Nečase; 
Nejedlého;M
Prokopa Velikého;M
Prašná; 
Slavíčkova;M
Belcrediho; 
Černovické nábřeží; 
Neklež; 
Planinka; 
Spojovací; 
Průjezdní; 
Kleštínek; 
Foustkova;M
Hraničky; 
Řezáčova;M
Plachty; 
Petlákova;M
Plástky; 
Jírova;M
Terezy Novákové;F
Chytilova;M
Hermannova;M
Makovského náměstí; 
Kamenačky; 
Hybešova;M
Brožíkova;M
Masarova;M
Dvořákova;M
Mezírka; 
ulice 1. května; 
Demlova;M
Veselá; 
Masná; 
Škrochova;M
Divišova;M
Hromádkova;M
Kostelíček; 
Adamcova;M
Šestákova;M
Kovařovicova;M
Ludvíka Podéště; 
Tomkovo náměstí; 
Kraví hora; 
Zákoutí; 
Šemberova;M
Fedrova;M
Faměrovo náměstí; 
Myslivní; 
Marie Kudeříkové;F
Rudišova;M
Podnásepní; 
Režná; 
Požární; 
Jihomoravské náměstí; 
Kremličkova;M
Zájezdní; 
Studená; 
Ondrouškova;M
Eleonory Voračické; 
Dudíkova;M
Markovičova;M
Koreisova;M
Chlupova;M
Sochorova;M
Vaculíkova;M
Hlaváčova;M
Tomanova;M
Konečného náměstí; 
Františky Stránecké; 
Cacovice; 
Kamelova;M
Barvičova;M
Štefánikova;M
Okrouhlá; 
Drápelova;M
Olší; 
Skutilova;M
Chaloupkova;M
Haraštova;M
Durďákova;M
Žižkova;M
Kolískova;M
Košuličova;M
Prostřední; 
Tererova;M
náměstí 3. května; 
Roubalova;M
Šalounova;M
Jana Broskvy; 
Pšeník; 
Nádražní; 
Písečník; 
Luh; 
Kubova;M
Šmejkalova;M
Karáskovo náměstí; 
Kristenova;M
Sladkého;M
Muchova;M
Krásného;M
Kumpoštova;M
Běly Pažoutové;F
Dobrovského;M
Zátiší; 
Úlehle; 
Tyršovo návrší; 
Zlatníky; 
Náhorní; 
Mošnova;M
Jeníčkova;M
Sněžná; 
Palackého náměstí; 
Srnčí; 
Závětří; 
Vápenka; 
Peškova;M
Výstaviště; 
Štouračova;M
Kameníčkova;M
Školní; 
Rysova;M
Zeyerova;M
Andrýskova;M
ulice Čoupkových; 
Horácké náměstí; 
Meziboří; 
Skopalíkova;M
Borkovcova;M
Wollmanova;M
Bačovského;M
Dykova;M
Menšíkova;M
Alešova;M
Blümlova;M
Opletalova;M
Bašného;M
Bednářova;M
Rooseveltova;M
Mikuláškovo náměstí; 
Žerotínovo náměstí; 
Suchého;M
Eliášova;M
Slunná; 
Blahoslavova;M
Štompil; 
Smutná; 
Popelova;M
Galandauerova;M
Jarmily Kurandové;F
Kamenice; 
Mendlovo náměstí; 
Klokočí; 
Vojtova;M
Ševelova;M
Kroftova;M
Křepelčí; 
Lány; 
Hviezdoslavova;M
Šeránkova;M
Stránského;M
Hřbitovní; 
Kociánka; 
Žilkova;M
Špilberk; 
Živanského;M
Pramenná; 
Hálkova;M
Grmelova;M
Hořejší; 
Martinkova;M
Chlubnova;M
Buzkova;M
náměstí Odboje; 
Šaldova;M
Renčova;M
Šmilovského;M
Elgartova;M
Nopova;M
Besední; 
Lomená; 
Vaškova;M
Pahrbek; 
Dunajevského;M
Bochořákova;M
Florianova;M
Konopiska; 
Obilní trh; 
Bendlova;M
Tůmova;M
Ryšánkova;M
Hansmannova;M
Přístavní; 
Pastevní; 
Ctiradova;M
Zeiberlichova;M
náměstí Míru; 
Hluboček; 
Lerchova;M
náměstí Republiky; 
Vlastimila Pecha; 
Radlas; 
Rovinka; 
Houbalova;M
Pokorova;M
Erbenova;M
Špirkova;M
Grohova;M
Michalova;M
Slívova;M
Kluchova;M
Fügnerova;M
Bubeníčkova;M
Mladá; 
Vrbenského;M
Zubatého;M
Jeneweinova;M
Božetěchova;M
Lieberzeitova;M
Urxova;M
Obecní; 
Koliště; 
Kepákova;M
Dačického;M
Košinova;M
Kozinova;M
Práčata; 
Neužilova;M
Taussigova;M
Jungmannova;M
Travní; 
Křivánkovo náměstí; 
Kotulánova;M
Přívrat; 
Příční; 
Podhorní; 
Kobližná; 
Macháčkova;M
Zikova;M
Koperníkova;M
Výstavní; 
Kamenná; 
Bauerova;M
Vysoká; 
Výpadní; 
Výpravní; 
Mezicestí; 
Benešova;M
Malátova;M
náměstí 28. října; 
Vlaštovčí; 
Potácelova;M
Humenná; 
Sukova;M
Kozí; 
Masarykova;M
Berkova;M
Podešvova;M
Mezníkova;M
Sady; 
bratří Žůrků; 
Rázusova;M
Hrubinky; 
Sámova;M
Oblá; 
Špačkova;M
Uzavřená; 
Mácova;M
Popelákova;M
Kořenského;M
Dulánek; 
Doubí; 
Pusty; 
Leitnerova;M
Dostálova;M
Valcha; 
Návrší Svobody; 
Chelčického;M
Sedlákova;M
Marie Pujmanové;F
Slepá; 
Přehradní; 
Kuršova;M
Kouty; 
náměstí Svornosti; 
Jiráskova;M
Rebovka; 
Křehlíkova;M
Hradilova;M
Haškova;M
Klicperova;M
Kniesova;M
Uhlířova;M
Janouškova;M
Jeronýmova;M
Kosmákova;M
Sobotkova;M
Mánesova;M
Tichého;M
Průchodní; 
Jeřábkova;M
Kupkova;M
Helenčina; 
Lužná; 
Filipínského;M
Rezkova;M
Stejskalova;M
Kotlanova;M
Otiskova;M
Urbánkova;M
Jaroslava Foglara; 
Palcary; 
Wanklova;M
Veveří; 
Letiště Brno-Tuřany; 
Lavičky; 
Hlavní; 
Ráječek; 
Bednaříkova;M
Síčka; 
Břenkova;M
Krátká; 
Slíny; 
Jemelkova;M
Souběžná; 
Dvořiště; 
Točná; 
Velká Klajdovka; 
Zezulova;M
Dvorského;M
Kratina; 
Strž; 
Kolaříkova;M
Rekreační; 
Lučiny; 
Podhájí; 
Reissigova;M
Kotoulky; 
Manželů Suchých; 
Třebízského;M
Bohatcova;M
Drdy; 
Ostrá; 
Vojanova;M
Slovanské náměstí; 
Psotova;M
Nádvorní; 
Koutného;M
Konopná; 
Široká; 
Vackova;M
Herbenova;M
Holubova;M
Jelínkova;M
Foerstrova;M
Zelinky; 
Břetislavova;M
Šťastného;M
Živného;M
Mahenova;M
Gajdošova;M
Moskalykova;M
Stráň; 
Strážní; 
Chlumy; 
Vyhlídalova;M
Výletní; 
Sedla; 
Kosmova;M
Žlutá; 
Rovnoběžná; 
Richtrova;M
Plevova;M
Cihelní; 
Komenského náměstí; 
Dolnice; 
Rozkošná; 
Milady Horákové;F
Auerswaldova;M
Družstevní; 
Ladova;M
Sovova;M
náměstí Karla IV.; 
Vančurova;M
Aloise Havla; 
Říčky; 
Krondlova;M
Jindřichova;M
Žleb; 
Hilleho; 
Moravské náměstí; 
Jasná; 
Zahradníkova;M
Elišky Krásnohorské; 
Uprkova;M
Krameriova;M
Postranní; 
Leskauerova;M
Karla Kryla; 
Molákova;M
Sedlička; 
Světlá; 
Tenorova;M
Výhon; 
Šárka; 
Slatinka; 
Rybníček; 
Ambrožova;M
Ječmínkova;M
Hrad Veveří; 
Písníky; 
Palackého třída; 
Hliniště; 
Výzkumní; 
Vlkova;M
Svatoplukova;M
Čtvrtě; 
Generála Kadlece; 
Hamry; 
Nevrklova;M
Štěpánkova;M
Třískalova;M
Štítného;M
Křivánky; 
Bartošova;M
Ovčírna; 
Puškinova;M
Gusty Blahové;F
Ovocná; 
Vodova;M
Musorgského;M
Spodní; 
Sirotkova;M
Lísky; 
Staňkova;M
Kšírova;M
Colova;M
Tomečkova;M
Borodinova;M
Černozemní; 
Došlíkova;M
Habřinova;M
Mařákova;M
Hády; 
Podlipná; 
Touškova;M
Tovární; 
Soběslavova;M
Kolejní; 
Údolní; 
Bešůvka; 
Perunova;M
Žlíbek; 
Zázmolí; 
Vítězná; 
Fibichova;M
Sobolova;M
Pflegrova;M
Achtelky; 
Název ulice; 
Husova;M
Havlíčkova;M
Chochola; 
Pohankova;M
Matzenauerova;M
Zengrova;M
Vyhlídka; 
Hlídka; 
Čtvery hony; 
Královka; 
Strmá; 
Havlišova;M
Edisonova;M
Vzdálená; 
Bezovka; 
Provazníkova;M
Šmahova;M
Gogolova;M
Podhrázní; 
Ráj; 
Hubrova;M
Křižíkova;M
Odlehlá; 
Nezvalova;M
Járy Cimrmana; 
Klíny; 
Fanderlíkova;M
Mariánské náměstí; 
Kostelní zmola; 
Havelkova;M
Středova;M
Teyschlova;M
Olbrachtovo náměstí; 
Marešova;M
Valouškova;M
Chaloupky; 
Šafaříkova;M
Markůvky; 
Železná; 
Jelení; 
Polní; 
Hrozňatova;M
Marie Hübnerové;F
Sladkovského;M
Záleského;M
Nárožní; 
Zámezí; 
Náplavka; 
Pastviny; 
Ramešova;M
Gorazdova;M
Šaracova;M
Bezejmenná; 
Písečná; 
Tvrdého;M
Hostinského;M
Zdráhalova;M
Talichova;M
Soukopova;M
Votroubkova;M
Uhýrkova;M
Chvalovka; 
Revírníkova;M
Joukalova;M
Nešverova;M
Půvabná; 
Spojka; 
Dominikánské náměstí; 
Střelnice; 
Dusíkova;M
Myslínova;M
Mazourova;M
Souhrady; 
Šrámkova;M
Šikulova;M
Zatloukalova;M
Špitálka; 
Stinná; 
Revoluční; 
Maškova;M
Staré zámky; 
Červinkova;M
Švermova;M
Sportovní nábřeží; 
Závodní; 
Ševcova;M
Zadní; 
Štolcova;M
Loučná; 
Vrchní; 
Kárníkova;M
Střížova;M
Vymazalova;M
Proškovo náměstí; 
Petrůvky; 
Riegrova;M
Gorkého;M
Richarda Knose; 
Amerlingova;M
Hujíčkova;M
Tolstého;M
Jilemnického;M
Trnkova;M
Gellnerova;M
Mojmírovo náměstí; 
Čejkova;M
Lelkova;M
Meluzínova;M
Díly; 
Jakubské náměstí; 
Krausova;M
Rosického náměstí; 
Zemkova;M
Škroupova;M
Vohnoutova;M
Pavlíkova;M
Rozárka; 
Babičkova;M
Resslova;M
Sýpka; 
Goldova;M
Fleischnerova;M
Studniční; 
Vitáskova;M
Nové sady; 
Šilingrovo náměstí; 
Ypsilantiho; 
Ivanovické náměstí; 
Trtílkova;M
Kronova;M
Jubilejní; 
Cornovova;M
Hochmanova;M
Chaloupeckého náměstí; 
Fantova;M
Myslivečkova;M
Poděbradova;M
Deštná; 
Chopinova;M
Bellova;M
Jana Svobody; 
Stará osada; 
Dlouhé hony; 
Majdalenky; 
Vážného;M
Sadovského;M
Venhudova;M
Ečerova;M
Gromešova;M
Poslušného;M
Maničky; 
Rygle; 
Křížkovského;M
Ztracená; 
Zimní; 
Tihůvka; 
Faulhabrova;M
Charbulova;M
Buchtova;M
Říční; 
Synkova;M
Firemní; 
Gargulákova;M
Salajní; 
Hrázní; 
Wurmova;M
Jamborova;M
Pilařova;M
Loosova;M
Chleborádova;M
Plotní; 
Rovná; 
Ponávka; 
Roháčkova;M
Úpatní; 
Lacinova;M
Podruhova;M
Nezamyslova;M
Zahradní; 
Žitná; 
Myslbekova;M
Uhelná; 
Listnatá; 
Blízká; 
Skalky; 
Závodského;M
Kubíčkova;M
Dalimilova;M
Hluboká; 
Výholec; 
Kulkova;M
Hlávkova;M
Burianovo náměstí; 
Tomáškova;M
Pellicova;M
Kubíkova;M
Mifkova;M
Raisova;M
Bieblova;M
Fillova;M
Záhumní; 
Renneská třída; 
Hatě; 
Kaloudova;M
Vránova;M
Prokofjevova;M
Tyršova;M
Pěnkinova;M
Schwaigrova;M
Ruda; 
Optátova;M
Kachlíkova;M
Zelná; 
Haasova;M
Halasovo náměstí; 
Lazaretní; 
Mojžíšova;M
Kaplanova;M
Stromovka; 
Závist; 
Skryjova;M
Ferrerova;M
Jiránkova;M
Měřičkova;M
Klecandova;M
Šromova;M
Osamělá; 
Zeleného;M
Gallašova;M
bratří Mrštíků; 
Stavební; 
Högrova;M
Jezerůvky; 
Skrytá; 
Turgeněvova;M
Pěkná; 
Porážka; 
Jámy; 
Heyrovského;M
Horova;M
Beethovenova;M
Kellnerova;M
Vrbí; 
Rotreklova;M
Strnadova;M
Pešinova;M
Voříškova;M
Zoubkova;M
Jehličnatá; 
Axmanova;M
Kořískova;M
Tábor; 
Podsedky; 
Trnitá; 
Bukovského;M
Šmídkova;M
Boettingrova;M
Horníkova;M
Mateří; 
Sportovní; 
Výšina; 
Weighartova;M
Panská lícha; 
Úlehlova;M
Bakalovo nábřeží; 
Táborského nábřeží; 
Burešova;M
Kozákova;M
Úvoz; 
Jánošíkova;M
Otakara Ševčíka; 
Podzimní; 
Bernáčkova;M
Bidláky; 
Rumiště; 
Bohuslava Martinů; 
třída Kpt. Jaroše; 
ulice Kosmonautů; 
Kamínky; 
Hlaváčkova;M
Vejrostova;M
Hněvkovského;M
Pompova;M
náměstí Vojtěšky Matyášové;F
Podpísečná; 
Jílkova;M
Markéty Kuncové;F
Cimburkova;M
Hoppova;M
Bělidla; 
Hoblíkova;M
Jateční; 
Poříčí; 
Navrátilova;M
Ibsenova;M
Sokolova;M
Závětrná; 
Poledníkova;M
Klášterského;M
Hostislavova;M
Otevřená; 
Malečkova;M
Hliník; 
Šelepova;M
Zábranského;M
Ruský vrch; 
Brandlova;M
Jablonského;M
Tylova;M
Kabátníkova;M
Svážná; 
Tuřanské náměstí; 
Jezerní; 
Martina Kříže; 
Rozcestí; 
Jircháře; 
Vlhká; 
